Ghost Arrow	Призрачная Стрела
Barrage	Шквал
Phalanx	Фаланга
Trinity	Троица
Wraith Arrow	Стрела Духа
Triumphant Strike	Триумфальный Удар
Prowl	Рысканье
Pounce	Наскок
Lioness	Львица
Lightswarm	Рой Света
Starstreak	Звёздная Вспышка
Ricochet	Рикошет
Enfilade	Продольный Огонь
Moon Warrior	Лунный Воин
Fairy Ring	Сказочное Кольцо
Death Ray	Луч Смерти
Bloodlust	Жажда Крови
Bloodstorm	Кровавая Буря
Bacchanalia	Вакханалия
Magic Missiles	Магические Снаряды
Defensive Harmony	Защитная Гармония
Blood Elementals	Огненные Элементали
Balance	Баланс
Pact of Blood	Пакт Крови
Wings of Wrath	Крылья Гнева
Curare	Кураре
Paragon	Идеал
Spirit of Vengeance	Дух Возмездия
Leadership	Лидерство
War Spirit	Дух Войны
Batstrike	Удар Летучей Мыши
Crucify	Распятие
Queen of Blades	Королева Лезвий
Hades Gate	Врата Аида
Doom	Рок
Way of the Spider	Путь Паука
Shadow Refuge	Убежище Теней
Black Lotus Strike	Удар Чёрного Лотоса
Death Blossom	Цветок Смерти
Way of the Phoenix	Путь Феникса
Scorpion Blade	Клинок Скорпиона
Storm Crows	Штормовые Вороны
Wychwind	Ведьмин Ветер
Maelstrom	Вихрь
Broadside	Залп
Seal of Fire	Клеймо Огня
Rune of Ice	Руна Льда
Nova Bomb	Бомба Новы
Immolation Bomb	Жертвенная Бомба
Singularity	Сингулярность
Blink	Скачок
Starburst	Выброс Звёзд
Premeditation	Премедитация
Rain of Bombs	Дождь Бомб
Perfect Being	Идеальное Бытие
Beacon	Маяк
Way of the Gryphon	Путь Грифона
Phase Bomb	Фазовая Бомба
Vampiric Icon	Вампирский Символ
Way of the Raven	Путь Ворона
Titan Strike	Удар Титана
Bloodhatred	Кровавая Ненависть
Thunder Slam	Раскат Грома
Shower of Rocks	Камнепад
Earthquake	Землятресение
Bear Claw	Коготь Медведя
Stampede	Натиск
Rebound	Отскок
Eagle Dive	Пикирование Орла
Hawk Talons	Когти Ястреба
Guardian Spirit	Дух Стража
Defender Spirit	Дух Защитника
Protector Spirit	Дух Покровителя
Greater Manifestations	Великие Олицетворения
Shamans Path	Путь Шамана
Ancient Blood	Древняя Кровь
Lion Stance	Стойка Льва
Snake Stance	Стойка Змеи
Bear Stance	Стойка Медведя
Eagle Stance	Стойка Орла
Guard Tower	Охранная Башня
Berserk Fury	Ярость Берсерка
Fortress	Крепость
Spirit Guide	Проводник Духов
Mountain King	Горный Король
Kraken Stance	Стойка Кракена
Runemaster	Повелитель Рун
Shamanic Trance	Шаманский Транс
Wolf Stance	Стойка Волка
Thundergod	Бог Грома
Charm	Очарование
Call Leprechaun	Позвать Лепрекона
Havoc	Опустошение
Dominate	Доминирование
Elvensong	Песнь Эльфа
Mark of the Wild	Метка Диких
Killer Instinct	Инстинкт Убийцы
Culling of the Herd	Отстрел Стада
Brambles	Колючки
Thrill of the Hunt	Азарт Охоты
Elemental	Элементаль
Hunting Banshee	Охотящаяся Банши
Pagan Rites	Языческие Обряды
Fire Fountain	Фонтан Огня
Hailstorm	Гроза с Градом
Poison Flash	Ядовитая Вспышка
Circle of Life	Круг Жизни
Plague Avatar	Аватар Чумы
Gamma Field	Гамма-Поле
Summon Acid Fiends	Кислотные Дьяволы
Blindside	Слабое Место
Cascade	Каскад
Spore Shot	Цепной Выстрел
Elfin Arrows	Эльфийские Стрелы
Nova Shot	Круговой Выстрел
Force of Nature	Сила Природы
Faerie Fire	Феерический Огонь
Tremor	Сотрясение
Goodberry	Ягода Жизни
Lifeshield	Жизненный Щит
Deaths Fury Totem	Тотем Ярости Смерти
Blood Tide Totem	Тотем Притока Крови
Mana Tide Totem	Тотем Притока Маны
Elemental Totem	Элементальный Тотем
Howling Totem	Кричащий Тотем
Totemic Mastery	Владение Тотемами
Frostclaw Totem	Тотем Когтя Мороза
Fireheart Totem	Тотем Сердца Огня
Exploding Totem	Взрывающийся Тотем
Stormeye Totem	Тотем Глаза Бури
Buckshot	Картечь
Angel of Death	Ангел Смерти
Widowmaker	Вдоводелец
Soulshatter	Уничтожитель Душ
Deathstrike	Удар Смерти
Unholy Armor	Нечестивая Броня
Sacrifices	Жертвы
Famine	Голод
Bend The Shadows	Изгиб Теней
Talons Hold	Хватка Когтя
Summon Shadows	Призыв Теней
Summon Darklings	Призыв Чернотелок
Summon Rampagor	Призыв Рампагора
Summon Lamia	Призыв Ламии
Summon Void Archon	Призыв Архонта Пустоты
Necromantic Trance	Некромантский Транс
Rathmas Chosen	Избранник Ратмы
Death Ward	Опека Смерти
Unholy Prayer	Нечестивая Молитва
Liche Form	Форма Лича
Retaliate	Ответный Удар
